Antisquad,16.2
Aperture Tag The Paint Gun Testing Initiative,1.8
Apollo4x,3.8
Apotheon,2.92
Apotheon Arena,0.9
Aqua Kitty - Milk Mine Defender,0.3
AquaNox,0.45
Aquaria,4.29
Arcadia,0.6
Arcane Worlds,0.2
ArcaniA,5.97
ArcheAge,27.74
Archeblade,4.36
ArchonClassic,1.3
Arctic Combat,6.13
Arma 2,5.62
Arma 2 British Armed Forces,0.23
Arma 2 DayZ Mod,2.51
Arma 2 Free,0.53
Arma 2 Operation Arrowhead,49.89
Arma 2 Operation Arrowhead Beta (Obsolete),6.57
Arma 2 Private Military Company,0.77
Arma 3,153.22
Arma Cold War Assault,1.4
Arma Combat Operations,33.07
Arma Tactics,1.94
Armada 2526,0.6
Armello,7.0
Armikrog,4.7
Arms Dealer,1.9
ArtRage Studio Pro,9.3
Artemis Spaceship Bridge Simulator,2.83
Arx Fatalis,12.46
Ascend Hand of Kul,5.66
Ascendant,5.0
Ashes of the Singularity,0.7
Assassin's Creed,11.54
Assassin's Creed Brotherhood,25.04
Assassin's Creed Freedom Cry,2.97
Assassin's Creed II,27.9
Assassin's Creed III,45.45
Assassin's Creed IV Black Flag,59.82
Assassin's Creed Revelations,38.17
Assassin's Creed Rogue,62.0
Assassin's Creed Syndicate,32.13
Assassins Creed Chronicles China,4.8
Assassins Creed Unity,20.18
Assault Android Cactus,1.45
Assetto Corsa,15.74
Astebreed,0.4
Asteria,1.0
Asteroids Outpost,0.3
Astro Lords,0.15
Atlantica Online,8.2
Atom Zombie Smasher,5.83
Audiosurf,8.1
Audiosurf 2,15.76
Audition Online,2.06
Auditorium,0.45
Aura Fate of the Ages,3.6
Aura Kingdom,5.11
Autobahn Police Simulator,0.95
Autocraft,5.1
Automation - The Car Company Tycoon Game,6.2
Avadon 2 The Corruption,2.9
Avadon The Black Fortress,0.33
Avernum 4,228.0
Avernum 5,222.0
Avernum 6,80.0
Avernum Escape From the Pit,85.67
Aveyond 3-1 Lord of Twilight,1.2
Aveyond 3-2 Gates of Night,0.3
Awesomenauts,22.13
Axiom Verge,7.58
Axis Game Factory's AGFPRO 3.0,2.24
Azure Striker Gunvolt,5.5
B.U.T.T.O.N.,0.1
BAD END,3.8
BEEP,1.43
BIT.TRIP BEAT,1.66
BIT.TRIP CORE,0.1
BIT.TRIP FATE,0.25
BIT.TRIP Presents... Runner2 Future Legend of Rhythm Alien,2.37
BIT.TRIP RUNNER,1.84
BIT.TRIP VOID,0.4
BLOCKADE 3D,5.68
BRAINPIPE A Plunge to Unhumanity,1.87
BRINK,7.42
Babel Rising,0.2
Back to Bed,1.6
Back to Dinosaur Island,1.53
Back to the Future Ep 1 - It's About Time,2.3
Back to the Future Ep 2 - Get Tannen!,2.2
Back to the Future Ep 3 - Citizen Brown,2.7
Back to the Future Ep 4 - Double Visions,2.6
Back to the Future Ep 5 - OUTATIME,2.77
Bad Hotel,10.0
Bad Rats,2.25
Baldur's Gate Enhanced Edition,134.56
Baldur's Gate II Enhanced Edition,475.26
Ballad of Solar,10.1
Ballpoint Universe Infinite,1.03
Banished,30.24
Bard's Gold,119.0
Bardbarian,6.95
Basement,23.23
Bastion,6.09
Batla,3.02
Batman Arkham Asylum,21.4
Batman Arkham Asylum GOTY Edition,12.68
Batman Arkham City,22.6
Batman Arkham City GOTY,19.05
Batman Arkham Knight,15.1
Batman Arkham Origins,19.92
Batman Arkham Origins Blackgate - Deluxe Edition,4.77
Battle Academy,14.6
Battle Academy 2 Eastern Front,0.1
Battle Battalions,0.28
Battle Brothers,1.5
Battle Group 2,2.6
Battle Islands,34.87
Battle Los Angeles,4.1
Battle Nations,131.4
Battle for Graxia,1.27
Battle of Empires  1914-1918,24.4
Battle vs Chess,5.0
BattleBlock Theater,5.9
BattleSpace,0.7
Battlefield 2,13.66
Battlefield Bad Company 2,60.17
Battlegrounds of Eldhelm,0.4
Battlepaths,5.32
Battleplan American Civil War,3.1
Battlestations Midway,6.18
Battlestations Pacific,15.32
BeamNG.drive,6.85
Beast Boxing Turbo,0.95
Beasts of Prey,16.82
Beat Hazard,5.64
Beatbuddy Tale of the Guardians,2.43
Bedlam,3.4
Before the Echo,1.92
Bejeweled 2 Deluxe,0.8
Bejeweled 3,15.26
Bejeweled Deluxe,1.0
Ben There Dan That!,1.32
Bermuda,1.9
Besiege,13.75
Betrayer,2.42
Better Late Than DEAD,3.4
Beware Planet Earth,2.2
Beyond Divinity,0.75
Beyond Eyes,1.5
Beyond Good & Evil,4.73
Beyond Space,12.6
Bientt l't,0.4
Big Brain Wolf,0.5
Big Money! Deluxe,3.0
Big Pharma,9.47
Binary Domain,4.9
BioShock,7.62
BioShock 2,7.53
BioShock Infinite,17.4
Bionic Commando,1.2
Bionic Commando Rearmed,0.28
Bionic Dues,1.8
Black Fire,1.45
Black Ice,1.1
Black Ink,79.77
Black Mesa,17.16
Black Mirror,0.8
Black Sails,1.8
Black Viper Sophia's Fate,0.2
Blackguards,19.82
Blackguards 2,27.83
Blacklight Retribution,15.57
Blacklight Tango Down,0.9
Blackwell Convergence,0.3
Blade Symphony,11.12
Blades of Time,8.12
Blaster Shooter GunGuy!,1.8
BlazBlue Calamity Trigger,3.05
BlazBlue Continuum Shift Extend,77.93
BlazeRush,0.1
Blazing Angels 2 Secret Missions of WWII,6.27
Blazing Angels Squadrons of WWII,7.6
Bleed,2.32
Blender 2.76b,0.88
Blitzkrieg 2 Anthology,7.27
Blitzkrieg Anthology,2.83
Blob From Space,2.9
Block N Load,5.63
Block Story,15.7
Blockland,4.2
Blocks That Matter,2.21
Blockscape,0.5
Blockstorm,1.44
Blood Bowl 2,41.28
Blood Bowl Chaos Edition,94.02
Blood Bowl Dark Elves Edition,13.9
Blood Bowl Legendary Edition,27.61
Blood Knights,2.5
Blood Omen 2 Legacy of Kain,1.45
Blood One Unit Whole Blood,1.17
Blood of Old,3.78
Blood of the Werewolf,0.5
BloodLust Shadowhunter,0.3
BloodRayne,6.6
BloodRayne 2,2.9
BloodRayne Betrayal,1.65
