Wallace & Gromit Ep 2 The Last Resort,15.4
Wallace & Gromit Ep 1 Fright of the Bumblebees,2.48
Walkover,0.15
Waking Mars,4.14
WWE 2K15,28.92
WTFast Gamers Private Network (GPN),6.7
WRC Powerslide,4.8
WRC 5,3.25
WRC 4 FIA WORLD RALLY CHAMPIONSHIP,5.04
WORLD END ECONOMiCA episode.01,0.28
WARP,1.3
WARMODE,2.51
WAKFU,34.87
Voxelized,5.35
Vox,2.4
Volume,0.7
Volt,0.9
Volgarr the Viking,5.4
VoidExpanse,1.9
Void Destroyer,1.5
Voices from the Sea,0.87
Vlad the Impaler,4.5
Viscera Cleanup Detail Shadow Warrior,0.69
Viscera Cleanup Detail Santa's Rampage,4.56
Viscera Cleanup Detail,5.71
Virtual Villagers A New Home,4.3
Virtua Tennis 4,2.5
Viridi,3.03
Violett,0.4
Vintage Year,3.0
Vindictus,6.47
Villagers and Heroes,3.84
Viking Brothers,1.8
Viking Battle for Asgard,3.82
Vigil Blood Bitterness,0.1
Victory The Age of Racing,0.6
Victory Command,0.32
Victory At Sea,0.1
Victoria II,41.08
Victor Vran,51.75
Victim of Xen,3.25
Vessel,1.3
Vertiginous Golf,0.25
Vertical Drop Heroes HD,2.47
Verdun,10.13
Velvet Sundown,1.27
Velvet Assassin,1.75
VelocityUltra,1.3
Velocibox,0.9
Vanguard Princess,2.07
Vampire The Masquerade - Bloodlines,36.12
Valkyria Chronicles,9.89
Valiant Hearts The Great War / Soldats Inconnus  Mmoires de la Grande Guerre,4.76
Valdis Story Abyssal City,20.29
Vagante,4.5
VVVVVV,2.89
Urizen Shadows of the Cold,0.1
Uriel's Chasm,2.24
Urban Trial Freestyle,1.64
Uplink,4.68
Unturned,15.06
Unstoppable Gorg,0.8
Unreal Tournament Game of the Year Edition,26.32
Unreal Tournament 3 Black Edition,8.92
Unreal Tournament 2004,4.21
Unreal II The Awakening,0.7
Unreal Gold,1.91
Unmechanical,1.85
Universe at War Earth Assault,9.88
Universe Sandbox,5.61
Universal Combat CE,0.2
Unium,0.8
Unity of Command,0.1
Unholy Heights,0.5
Unepic,8.68
Undertale,13.89
Under the Ocean,0.6
Undead Overlord,0.8
Uncrowded,4.71
Uncharted Waters Online Gran Atlas,63.45
Uncharted Waters Online,181.0
Ultratron,2.4
Ultra Street Fighter IV,36.51
Ultionus A Tale of Petty Revenge,0.6
Ultimate Tic-Tac-Toe,2.24
Ultimate General Gettysburg,8.58
Ubersoldier II,0.85
UberStrike,2.21
UFO Extraterrestrials Gold,62.0
UFO Aftermath,6.6
UFO Afterlight,0.55
TyranoBuilder Visual Novel Studio,10.5
TypeRider,2.62
Two Worlds II Castle Defense,2.0
Two Worlds II,14.0
Two Worlds Epic Edition,7.12
Twin Sector,0.6
Turok Dinosaur Hunter,0.4
Turbo Dismount,5.93
Tryst,21.0
Trucks & Trailers,0.3
Trove,19.05
Trouble In The Manor,0.9
Tropico 5,19.46
Tropico 4,25.39
Tropico 3 Absolute Power,35.91
Tropico 3 - Steam Special Edition,14.02
Tropico,0.7
Triple Town,21.0
Trine 3 The Artifacts of Power,7.65
Trine 2,6.39
Trine,5.58
Tribes Ascend,4.93
Trials Fusion,19.61
Trials Evolution Gold Edition,15.94
Trials 2 Second Edition,2.99
Treeker The Lost Glasses,3.0
Tree of Life,16.5
Treasure Planet Battle at Procyon,0.6
Traps N' Gemstones,7.0
Trapped Dead,1.0
Transistor,5.74
Transformice,50.48
Transformers War for Cybertron,9.03
Transformers Fall of Cybertron,12.74
TransOcean The Shipping Company,7.0
Trainz Simulator 12,2.09
Train Simulator,59.51
Train Fever,19.41
Tradewinds Caravans,1.5
TrackMania Valley,29.88
TrackMania United,8.35
TrackMania Stadium,23.83
TrackMania Canyon,1.35
Toybox Turbos,2.1
Toy Soldiers War Chest,2.25
Toy Soldiers,16.19
Towtruck Simulator 2015,2.3
Towns,10.7
Town of Salem,14.42
TowerFall Ascension,10.56
Tower of Guns,1.0
Tower Wars,4.68
Total War SHOGUN 2,88.05
Total War ROME II - Emperor Edition,136.55
Total War Battles SHOGUN,3.6
Total War Battles KINGDOM,4.0
Total War ATTILA,73.74
Total Annihilation,0.33
Toribash,4.47
Torchlight II,33.78
Torchlight,22.52
Tony Hawk's Pro Skater HD,9.07
Tomb Raider Underworld,6.98
Tomb Raider The Last Revelation,2.2
Tomb Raider Legend,2.03
Tomb Raider III Adventures of Lara Croft,0.5
Tomb Raider II,1.5
Tomb Raider I,4.65
Tomb Raider Chronicles,1.7
Tomb Raider Anniversary,2.73
Tomb Raider (VI) The Angel of Darkness,1.63
Tomb Raider,15.61
Tom Clancy's Splinter Cell Double Agent,3.65
Tom Clancy's Splinter Cell Conviction,16.4
Tom Clancy's Splinter Cell Chaos Theory,1.01
Tom Clancy's Splinter Cell Blacklist,16.88
Tom Clancy's Splinter Cell,1.1
Tom Clancy's Rainbow Six Vegas 2,8.36
Tom Clancy's Rainbow Six Vegas,1.0
Tom Clancy's Rainbow Six Siege,23.11
Tom Clancy's Rainbow Six 3 Gold Edition,4.17
Tom Clancy's H.A.W.X. 2,4.04
Tom Clancy's H.A.W.X.,7.25
Tom Clancy's Ghost Recon Phantoms - NA,36.92
Tom Clancy's Ghost Recon Phantoms - EU,23.61
Tom Clancy's Ghost Recon Future Soldier,18.81
Tom Clancy's Ghost Recon Advanced Warfighter 2,0.37
Tom Clancy's Ghost Recon Advanced Warfighter,18.6
Tom Clancy's Ghost Recon,0.25
Tom Clancy's EndWar,1.73
Toki Tori 2+,2.38
Toki Tori,2.55
Tobe's Vertical Adventure,0.2
Toast Time,0.6
ToCA Race Driver 3,7.6
To the Moon,2.95
To End All Wars,10.05
Tkl Online,2.4
Titan Souls,1.7
Titan Quest Immortal Throne,18.48
Titan Quest,4.39
Titan Attacks,1.65
Tiny and Big Grandpa's Leftovers,1.71
Tiny Troopers,2.85
Tiny Bridge Ratventure,4.57
Tiny Brains,3.85
Tinboy,1.4
TimeShift,4.3
Time Mysteries Inheritance - Remastered,3.4
Time Mysteries 3 The Final Enigma,2.35
Time Mysteries 2 The Ancient Spectres,4.7
Time Gentlemen Please!,2.1
Time Clickers,15.96
Timberman,5.05
Tidalis,1.45
Ticket to Ride,7.78
Tiamat X,0.1
Thunder Wolves,1.6
Thomas Was Alone,2.24
This War of Mine,13.37
Thirty Flights of Loving,0.54
Third Eye Crime,0.5
Thinking with Time Machine,1.91
Thief Town,0.3
Thief Gold,0.61
Thief Deadly Shadows,3.55
Thief 2,1.96
Thief,9.38
They Bleed Pixels,2.28
Theme Park Studio,2.0
Theatre of War 2 Kursk 1943,0.2
Theatre of War 2 Africa 1943,1.3
Theatre of War,5.75
The Yawhg,0.3
The Wonderful End of the World,3.78
The Wolf Among Us,9.91
The Wizard's Pen,4.2
The Witcher Enhanced Edition,27.15
The Witcher Adventure Game,15.9
The Witcher 3 Wild Hunt,63.34
The Witcher 2 Assassins of Kings Enhanced Edition,19.14
The Whispered World Special Edition,2.1
The Whispered World,1.6
The Way of Life Free Edition,0.3
The Walking Dead Survival Instinct,7.3
The Walking Dead Season Two,11.27
The Walking Dead,15.46
The Void,0.82
The Vanishing of Ethan Carter Redux,0.4
The Vanishing of Ethan Carter,4.41
The Universim,0.5
The Undying Plague,4.4
The UnderGarden,0.3
The Ultimate DOOM,0.95
The Typing of The Dead Overkill,2.6
The Treasures of Montezuma 4,138.6
The Tiny Bang Story,12.47
The Testament of Sherlock Holmes,7.52
The Talos Principle,17.75
The Swindle,23.0
The Swapper,3.17
The Sun at Night,1.8
The Stomping Land,7.09
The Stanley Parable,3.06
The Stalin Subway,0.2
The Slaughtering Grounds,4.13
The Sims(TM) Medieval,14.85
The Sims(TM) 3,51.13
The Silent Age,2.2
The Showdown Effect,3.04
The Ship Tutorial,0.27
The Ship Single Player,1.15
The Ship,3.87
The Settlers Online,0.8
The Settlers 7 Paths to a Kingdom - Gold Edition,14.6
The Settlers 7 Paths to a Kingdom,23.1
The Secret of Tremendous Corporation,1.3
The Secret of Monkey Island Special Edition,4.6
The Secret World,22.42
The Samaritan Paradox,3.6
The Room,3.8
The Repopulation,32.5
The Raven - Legacy of a Master Thief,9.47
The Polynomial,0.86
The Political Machine 2016,3.6
The Political Machine,21.82
The Plan,0.46
The Path - Prologue,0.43
The Path,1.9
The Otherside,4.8
The Old Tree,0.25
The Novelist,1.48
The Nightmare Cooperative,3.0
The Night of the Rabbit,8.4
The Next BIG Thing,1.35
The Musketeers Victoria's Quest,36.0
The Movies,14.5
The Moon Sliver,0.6
The Misadventures of P.B. Winterbottom,0.93
The Mighty Quest For Epic Loot,12.39
The Mean Greens - Plastic Warfare,2.45
The Maw,7.64
The Masterplan,16.6
The Marvellous Miss Take,1.45
The Magic Circle,5.2
The Lost Crown,3.55
The Lord of the Rings War in the North,16.86
The Lord of the Rings Online,20.58
The Longest Journey,3.56
The Long Dark,10.78
The Legend of Korra,5.38
The Legend of Heroes Trails in the Sky,13.14
The Last Remnant,15.98
The Last Federation,2.0
The Lady,10.8
The LEGO Movie - Videogame,33.15
The Kings' Crusade,4.25
The Journey Down Chapter One,3.48
The Jackbox Party Pack 2,14.3
The Jackbox Party Pack,71.83
The Inner World,1.3
The Incredible Adventures of Van Helsing III,4.65
The Incredible Adventures of Van Helsing II,11.11
The Incredible Adventures of Van Helsing Final Cut,58.0
The Incredible Adventures of Van Helsing,10.69
The Impossible Game,14.4
The Howler,2.55
The Haunted Hells Reach,0.9
The Hat Man Shadow Ward,1.83
The Guild II Renaissance,7.22
The Guild II - Pirates of the European Seas,1.45
The Guild II,3.62
The Guild Gold Edition,2.33
The Graveyard,0.2
The Good Life,0.6
The Golf Club,10.45
The Gate,6.6
The Four Kings Casino and Slots,2.98
The Forgotten Ones,0.48
The Forest,13.24
The Floor is Jelly,0.8
The Flame in the Flood,0.2
The Fish Fillets 2,0.1
The Fifth Day,6.45
The Few,4.7
The Fall,1.07
The Expendabros,3.37
The Evil Within,8.55
The Escapists The Walking Dead,4.25
The Escapists,13.0
The Entente Gold,0.3
The Elder Scrolls V Skyrim,104.71
The Elder Scrolls Online Tamriel Unlimited,40.27
The Elder Scrolls IV Oblivion,29.48
The Elder Scrolls III Morrowind,19.27
The Egyptian Prophecy The Fate of Ramses,0.3
The Dreamatorium of Dr. Magnus 2,41.0
The Dream Machine,4.17
The Dig,3.04
The Detail,5.6
The Defenders The Second Wave,3.4
The Deer,1.5
The Dead Linger,4.6
The Darkness II,7.2
The Dark Eye Chains of Satinav,6.6
The Cursed Crusade,1.12
The Curious Expedition,20.0
The Culling Of The Cows,1.8
The Crew,55.0
The Collider,0.3
The Club,1.3
The Clockwork Man The Hidden World,5.2
The Clockwork Man,3.55
The Clans - Saga of the Twins,4.7
The Chronicles of Riddick Assault on Dark Athena,8.76
The Chaos Engine,1.4
The Cave,9.05
The Cat and the Coup,0.4
The Cat Lady,2.45
The Campaign Series Fall Weiss,11.3
The Bureau XCOM Declassified,8.29
The Bug Butcher,0.3
The Bridge,2.21
The Book of Unwritten Tales The Critter Chronicles,13.5
The Book of Unwritten Tales 2,13.5
The Book of Unwritten Tales,9.96
The Black Watchmen,3.8
The Binding of Isaac Rebirth,84.19
The Binding of Isaac,32.49
The Beginner's Guide,1.72
The Beast of Lycan Isle - Collector's Edition,4.0
The Basement Collection,3.38
The Bard's Tale,2.58
The Banner Saga Factions,0.15
The Banner Saga,14.99
The Ball,7.06
The Baconing,5.07
The Amazing Spider-Man 2,17.23
The Amazing Spider-Man,7.67
The Albino Hunter,7.57
The Age of Decadence,47.0
The Adventures of Tree,6.5
The Adventures of Mr. Bobley,1.73
The 7th Guest,0.25
The 39 Steps,3.3
Tetrobot and Co.,1.8
Test Drive Unlimited 2,28.87
Test Drive Ferrari Racing Legends,1.0
Teslagrad,1.67
Tesla Effect,36.0
Terrorhedron,2.13
Terraria,65.11
Terrain Test,0.2
TerraTech,14.82
Terra Incognita ~ Chapter One The Descendant,32.2
Terminator Salvation,3.7
Temper Tantrum,4.3
Teleglitch Die More Edition,1.68
Teeworlds,1.89
